"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"22352922","https://www.airbnb.com/rooms/22355757","Scottsdale","-111.916322458177","33.462942637562","https://maps.google.com/maps?q=33.46294263756202980,-111.91632245817734770","Don't miss out - nightly summer rate has been reduced by up to 25% - Book Now!","2","1","1","1",(NULL),"0","Scottsdale"
"22352931","https://www.airbnb.com/rooms/22355765","Scottsdale","-111.916115022809","33.4626322847754","https://maps.google.com/maps?q=33.46263228477543805,-111.91611502280915147","Experience Summer all year long at Scottsdale Park Suites! Reserve today!","2","1","1","1",(NULL),"0","Scottsdale"
"22352941","https://www.airbnb.com/rooms/22355752","Scottsdale","-111.918171","33.464206","https://maps.google.com/maps?q=33.46420600000000000,-111.91817100000000000","April bookings as low as $84/night (6 night minimum)","2","1","1","1","300","0","Scottsdale"
"22352954","https://www.airbnb.com/rooms/22355747","Scottsdale","-111.917410212638","33.4646063501336","https://maps.google.com/maps?q=33.46460635013362150,-111.91741021263828770","All the comforts of home, Including free Wifi!","2","1","1","1",(NULL),"0","Scottsdale"
"22352955","https://www.airbnb.com/rooms/22355760","Scottsdale","-111.918273","33.464325","https://maps.google.com/maps?q=33.46432500000000000,-111.91827300000000000","Winter fun in the sun… all-inclusive suites perfect for winter getaway","2","1","1","1","300","0","Scottsdale"
"22352958","https://www.airbnb.com/rooms/22355756","Scottsdale","-111.916306","33.464405","https://maps.google.com/maps?q=33.46440500000000000,-111.91630600000000000","Splash into winter - heated pool, complimentary golf, & more! Low January Rate!","2","1","1","1","300","0","Scottsdale"
"22352966","https://www.airbnb.com/rooms/22355761","Scottsdale","-111.918197","33.463339","https://maps.google.com/maps?q=33.46333900000000000,-111.91819700000000000","All-inclusive suites & All- inclusive prices","2","1","1","1","300","0","Scottsdale"
"22352972","https://www.airbnb.com/rooms/22355754","Scottsdale","-111.916246","33.462478","https://maps.google.com/maps?q=33.46247800000000000,-111.91624600000000000","Comfort of Home Without Hotel Prices! Free WiFi","2","1","1","1","300","0","Scottsdale"
"22353164","https://www.airbnb.com/rooms/22355763","Scottsdale","-111.916668","33.46328","https://maps.google.com/maps?q=33.46328000000000000,-111.91666800000000000","Book now for our low April prices!! Free Wifi included!","2","1","1","1","300","0","Scottsdale"
"22354123","https://www.airbnb.com/rooms/22356915","Mesa","-111.676271530035","33.4042328005858","https://maps.google.com/maps?q=33.40423280058580957,-111.67627153003478213","Comfortable 2BR, 2BA  East Mesa Home","4","2","2","0","75","0","Kristin"
"22354358","https://www.airbnb.com/rooms/22357161","Fountain Hills","-111.740760141171","33.5913679053019","https://maps.google.com/maps?q=33.59136790530191519,-111.74076014117102318","View, View, View with Heated Pool","6","2","3","1","195","0","Matthew"
